               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.093931,            0.097923,                   0,            0.025314,             0.27941,            0.017288,            0.005333,             0.10195,             0.16393,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,             0.09456,            0.086244,                   0,            0.025314,             0.27941,            0.017288,            0.005333,             0.10195,             0.16393,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.088941,            0.079168,                   0,            0.024207,             0.35294,             0.01841,           0.0053551,             0.10167,             0.18577,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,             0.09107,            0.090981,                   0,            0.024207,             0.35294,             0.01841,           0.0053551,             0.10167,             0.18577,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.090859,             0.10318,                   0,            0.024207,             0.35294,             0.01841,           0.0053551,             0.10167,             0.18577,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.091232,            0.091593,                   0,            0.035617,             0.48529,            0.030813,           0.0091914,            0.092662,              0.1064,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.092681,            0.091469,                   0,            0.035617,             0.48529,            0.030813,           0.0091914,            0.092662,              0.1064,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.089381,            0.093513,                   0,            0.035617,             0.48529,            0.030813,           0.0091914,            0.092662,              0.1064,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.089813,            0.079426,                   0,            0.056412,             0.42647,            0.045827,            0.013525,            0.090282,            0.083726,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.090067,            0.085481,                   0,            0.056412,             0.42647,            0.045827,            0.013525,            0.090282,            0.083726,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.091284,             0.10667,                   0,            0.056412,             0.42647,            0.045827,            0.013525,            0.090282,            0.083726,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.091629,            0.084598,                   0,            0.063224,                 0.5,            0.061559,            0.016809,            0.090938,            0.079327,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.087834,            0.079328,                   0,            0.063224,                 0.5,            0.061559,            0.016809,            0.090938,            0.079327,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.089749,            0.091905,                   0,            0.063224,                 0.5,            0.061559,            0.016809,            0.090938,            0.079327,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.091321,            0.076877,                   0,            0.040171,             0.29412,            0.030958,           0.0096104,            0.093499,            0.085584,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.090094,            0.075247,                   0,            0.040171,             0.29412,            0.030958,           0.0096104,            0.093499,            0.085584,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.088268,             0.07777,                   0,            0.040171,             0.29412,            0.030958,           0.0096104,            0.093499,            0.085584,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.089409,            0.081477,                   0,            0.040171,             0.29412,            0.030958,           0.0096104,            0.093499,            0.085584,                   0,             0.00901,             0.00901,             0.00901
                 102,               0.087,            0.095813,                   0,            0.057007,             0.44118,             0.04529,            0.013451,            0.088922,            0.080041,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.088172,            0.091204,                   0,            0.057007,             0.44118,             0.04529,            0.013451,            0.088922,            0.080041,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.088746,            0.077835,                   0,            0.057007,             0.44118,             0.04529,            0.013451,            0.088922,            0.080041,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,             0.08838,            0.095742,                   0,             0.15994,               0.294,             0.11117,             0.03099,            0.082942,            0.073476,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.084292,             0.08443,                   0,             0.15994,               0.294,             0.11117,             0.03099,            0.082942,            0.073476,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.086747,            0.081455,                   0,             0.15994,               0.294,             0.11117,             0.03099,            0.082942,            0.073476,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.084693,            0.078604,                   0,            0.096319,             0.35294,            0.073096,            0.026157,            0.083689,            0.078487,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.090049,            0.098959,                   0,            0.096319,             0.35294,            0.073096,            0.026157,            0.083689,            0.078487,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.083143,            0.078276,                   0,            0.096319,             0.35294,            0.073096,            0.026157,            0.083689,            0.078487,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.077645,            0.079874,                   0,             0.09652,             0.39706,            0.079492,            0.025008,            0.085244,            0.083461,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.082771,            0.087953,                   0,             0.09652,             0.39706,            0.079492,            0.025008,            0.085244,            0.083461,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.087177,            0.083059,                   0,             0.09652,             0.39706,            0.079492,            0.025008,            0.085244,            0.083461,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.084955,            0.096749,                   0,             0.14486,             0.23529,            0.094571,             0.03061,            0.082127,            0.075647,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,             0.08508,            0.078139,                   0,             0.14486,             0.23529,            0.094571,             0.03061,            0.082127,            0.075647,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.086434,            0.087942,                   0,             0.14486,             0.23529,            0.094571,             0.03061,            0.082127,            0.075647,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.084992,            0.086436,                   0,             0.14486,             0.23529,            0.094571,             0.03061,            0.082127,            0.075647,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,               0.086,            0.077503,                   0,            0.096228,             0.29412,            0.076324,            0.022863,            0.084616,             0.08245,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,             0.08538,            0.091418,                   0,            0.096228,             0.29412,            0.076324,            0.022863,            0.084616,             0.08245,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.085721,            0.089903,                   0,            0.096228,             0.29412,            0.076324,            0.022863,            0.084616,             0.08245,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.086131,            0.090314,                   0,             0.17907,             0.32353,             0.13316,             0.04152,            0.080432,            0.074951,                   0,            0.008812,            0.008812,            0.008812
                 122,             0.07878,             0.08987,                   0,             0.17907,             0.32353,             0.13316,             0.04152,            0.080432,            0.074951,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.086702,              0.0815,                   0,             0.17907,             0.32353,             0.13316,             0.04152,            0.080432,            0.074951,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.084523,            0.074844,                   0,             0.23458,             0.27941,             0.18428,             0.06339,            0.078778,            0.074936,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,             0.08221,            0.080566,                   0,             0.23458,             0.27941,             0.18428,             0.06339,            0.078778,            0.074936,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.081714,            0.092991,                   0,             0.23458,             0.27941,             0.18428,             0.06339,            0.078778,            0.074936,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,             0.08235,            0.079879,                   0,             0.17153,             0.38235,             0.14538,            0.043652,            0.079775,            0.073634,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.077073,            0.081406,                   0,             0.17153,             0.38235,             0.14538,            0.043652,            0.079775,            0.073634,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.085175,            0.084906,                   0,             0.17153,             0.38235,             0.14538,            0.043652,            0.079775,            0.073634,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.077388,            0.085429,                   0,             0.16377,             0.27941,             0.11444,            0.029267,            0.080397,            0.078636,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.084492,            0.095649,                   0,             0.16377,             0.27941,             0.11444,            0.029267,            0.080397,            0.078636,                   0,            0.008713,            0.008713,            0.008713
